Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2016,austin-barnes-1,/cfb/players/austin-barnes-1.html,25,Austin Barnes*,Eastern Michigan,MAC,13,63,2739,43.5
2016,tyler-newsome-1,/cfb/players/tyler-newsome-1.html,26,Tyler Newsome,Notre Dame,Ind,11,54,2347,43.5
2016,jake-bailey-1,/cfb/players/jake-bailey-1.html,27,Jake Bailey*,Stanford,Pac-12,13,50,2176,43.5
2016,kenneth-allen-1,/cfb/players/kenneth-allen-1.html,28,Kenneth Allen*,Michigan,Big Ten,13,54,2340,43.3
2016,ryan-rodwell-1,/cfb/players/ryan-rodwell-1.html,29,Ryan Rodwell*,Georgia Tech,ACC,12,46,1990,43.3
2016,nick-ellis-1,/cfb/players/nick-ellis-1.html,30,Nick Ellis*,Toledo,MAC,13,54,2328,43.1
2016,shane-tripucka-1,/cfb/players/shane-tripucka-1.html,31,Shane Tripucka*,Texas A&M,SEC,13,69,2962,42.9
2016,blake-gillikin-1,/cfb/players/blake-gillikin-1.html,32,Blake Gillikin*,Penn State,Big Ten,14,61,2611,42.8
2016,zach-sinor-1,/cfb/players/zach-sinor-1.html,33,Zach Sinor*,Oklahoma State,Big 12,13,56,2395,42.8
2016,nick-walsh-1,/cfb/players/nick-walsh-1.html,34,Nick Walsh*,Kansas State,Big 12,13,49,2096,42.8
2016,sterling-hofrichter-1,/cfb/players/sterling-hofrichter-1.html,35,Sterling Hofrichter,Syracuse,ACC,12,77,3289,42.7
2016,tom-sheldon-1,/cfb/players/tom-sheldon-1.html,36,Tom Sheldon*,North Carolina,ACC,13,50,2134,42.7
2016,jake-collins-1,/cfb/players/jake-collins-1.html,37,Jake Collins*,Western Kentucky,CUSA,13,39,1666,42.7
2016,dalton-schomp-1,/cfb/players/dalton-schomp-1.html,38,Dalton Schomp,Florida Atlantic,CUSA,12,68,2895,42.6
2016,ryan-winslow-1,/cfb/players/ryan-winslow-1.html,39,Ryan Winslow*,Pitt,ACC,13,56,2385,42.6
2016,sean-kelly-1,/cfb/players/sean-kelly-1.html,40,Sean Kelly*,South Carolina,SEC,12,72,3062,42.5
2016,jonny-linehan-1,/cfb/players/jonny-linehan-1.html,41,Jonny Linehan*,Brigham Young,Ind,13,57,2420,42.5
2016,worth-gregory-2,/cfb/players/worth-gregory-2.html,42,Worth Gregory,East Carolina,American,12,51,2159,42.3
2016,josh-pollack-1,/cfb/players/josh-pollack-1.html,43,Josh Pollack,Arizona,Pac-12,12,48,2028,42.3
2016,kevin-phillips-1,/cfb/players/kevin-phillips-1.html,44,Kevin Phillips*,Auburn,SEC,11,45,1902,42.3
2016,corey-bojorquez-1,/cfb/players/corey-bojorquez-1.html,45,Corey Bojorquez*,New Mexico,MWC,13,49,2067,42.2
2016,caleb-houston-1,/cfb/players/caleb-houston-1.html,46,Caleb Houston*,UCF,American,13,74,3117,42.1
2016,dom-maggio-1,/cfb/players/dom-maggio-1.html,47,Dom Maggio*,Wake Forest,ACC,11,72,3026,42.0
2016,yannis-routsas-1,/cfb/players/yannis-routsas-1.html,48,Yannis Routsas*,UTSA,CUSA,13,69,2898,42.0
2016,lumi-kaba-1,/cfb/players/lumi-kaba-1.html,49,Lumi Kaba,Texas State,Sun Belt,12,74,3098,41.9
2016,peyton-theisler-1,/cfb/players/peyton-theisler-1.html,50,Peyton Theisler,New Mexico State,Sun Belt,12,70,2927,41.8
2016,dalton-parks-1,/cfb/players/dalton-parks-1.html,51,Dalton Parks*,Tulsa,American,12,64,2672,41.8
2016,evan-pantels-1,/cfb/players/evan-pantels-1.html,52,Evan Pantels,UNLV,MWC,12,64,2670,41.7
2016,billy-kinney-1,/cfb/players/billy-kinney-1.html,53,Billy Kinney*,West Virginia,Big 12,13,59,2462,41.7
2016,sam-loy-1,/cfb/players/sam-loy-1.html,54,Sam Loy*,Vanderbilt,SEC,13,68,2832,41.6
2016,logan-laurent-1,/cfb/players/logan-laurent-1.html,55,Logan Laurent,Massachusetts,Ind,12,62,2582,41.6
2016,austin-rehkow-1,/cfb/players/austin-rehkow-1.html,56,Austin Rehkow*,Idaho,Sun Belt,13,56,2332,41.6
2016,drew-galitz-1,/cfb/players/drew-galitz-1.html,57,Drew Galitz*,Baylor,Big 12,13,54,2246,41.6
2016,cole-moos-1,/cfb/players/cole-moos-1.html,58,Cole Moos,Kansas,Big 12,12,73,3024,41.4
2016,josh-growden-1,/cfb/players/josh-growden-1.html,59,Josh Growden*,LSU,SEC,12,57,2357,41.4
2016,justin-wain-1,/cfb/players/justin-wain-1.html,60,Justin Wain,Connecticut,American,12,73,3017,41.3
